source_rank,weight_scale,timeframe,fast_days,mid_days,slow_days,long_days,bear_on,ret_slow_max,ret_mid_max,short_sma_mult,fast_sma_mult,rebound_ret_max,short_target_vol,short_cap,max_short,short_base,short_conf,trend_on,ret_slow_min,ret_mid_min,long_sma_mult,long_target_vol,long_cap,max_long,vol_ceiling,vol_floor_q,vol_floor_min,transaction_cost_bps,pass_target,score,max_abs_weight,train_annual_return,train_total_return,train_sharpe,train_max_drawdown,train_avg_abs_exposure,train_avg_turnover,validation_annual_return,validation_total_return,validation_sharpe,validation_max_drawdown,validation_avg_abs_exposure,validation_avg_turnover,locked_test_annual_return,locked_test_total_return,locked_test_sharpe,locked_test_max_drawdown,locked_test_avg_abs_exposure,locked_test_avg_turnover
3,2.0,4h,2.0,7.0,21.0,60.0,0.56,-0.08,-0.04,0.98,1.0,0.08,0.35,1.0,1.0,0.65,0.55,0.68,0.0,0.0,1.02,0.16,0.1,0.1,0.45,0.1,0.2,6.0,False,2.4017431643112577,2.0,0.048374627376248425,0.2667617096801367,0.48281923331860643,-0.12232132599618739,0.0422398710357135,0.012971227432905423,0.16270283735193258,0.14791141394477636,1.0767810724036435,-0.06353598059139676,0.06612306259961064,0.014999794594271556,1.5918008134758894,0.40748353083194777,3.8647954877792046,-0.04299695940704451,0.14021205642514645,0.018829516539440205
0,1.5,4h,5.0,15.0,45.0,120.0,0.74,-0.05,0.01,0.98,1.04,0.04,0.7,1.0,1.0,0.35,1.0,0.68,0.0,0.02,1.02,0.1,0.1,0.1,0.45,0.5,0.25,6.0,False,2.147085780001372,1.5,-0.032581461125243516,-0.15278584555855435,-0.286441120133874,-0.30326241624066064,0.049580888731115325,0.010257195770026165,0.0937857077347477,0.08548960801882477,0.6091905204139191,-0.08922790330190666,0.12814203204787722,0.02514633954485622,2.080609696814728,0.49752372604883144,3.6052532830282717,-0.03224771955528338,0.08377862595419847,0.030534351145038167
7,2.0,4h,2.0,7.0,21.0,60.0,0.8,-0.08,-0.02,1.06,1.04,0.02,0.9,0.85,0.85,0.45,0.55,0.74,0.0,0.04,1.02,0.03,0.0,0.0,0.45,0.1,0.2,6.0,False,2.136860588351294,1.7,-0.011738589094879903,-0.057392071302163616,-0.05189707964657397,-0.23857238592527097,0.02806969531107462,0.008064221857325306,0.11277883537259759,0.10272515786219594,0.9122169195084545,-0.05313893581628293,0.02035928143712575,0.006786427145708583,1.7174997065417035,0.4316116369087255,4.492400224014404,-0.036547415495987834,0.11030534351145037,0.030279898218829517
8,2.0,4h,2.0,7.0,21.0,60.0,0.8,-0.08,0.01,0.98,1.0,0.08,0.9,0.85,0.85,0.35,1.0,0.68,0.08,0.01,1.04,0.06,0.0,0.0,0.45,0.5,0.15,6.0,False,2.096440767258536,1.7,-0.018280782435979526,-0.08821475985544369,-0.11389709281120222,-0.25243623434005535,0.02620872103630724,0.012406495165115855,0.07950368444498324,0.07251247799339988,0.6573463595052552,-0.05313893581628282,0.018662674650698603,0.010179640718562874,1.8890580270592299,0.4634143756502196,4.379731797831246,-0.036547415495987834,0.0930025445292621,0.025954198473282442
0,1.4,4h,5.0,15.0,45.0,120.0,0.74,-0.05,0.01,0.98,1.04,0.04,0.7,1.0,1.0,0.35,1.0,0.68,0.0,0.02,1.02,0.1,0.1,0.1,0.45,0.5,0.25,6.0,False,1.8104684051223319,1.4,-0.03014586542876252,-0.14205535803211022,-0.286441120133874,-0.2854748899903574,0.04627549614904096,0.009573382718691084,0.08822488879987778,0.080438580812219,0.6091905204139189,-0.08346479358254888,0.11959922991135205,0.02346991690853247,1.866464166536193,0.45929651218584144,3.6052532830282735,-0.030097871584931157,0.07819338422391858,0.028498727735368955
3,1.75,4h,2.0,7.0,21.0,60.0,0.56,-0.08,-0.04,0.98,1.0,0.08,0.35,1.0,1.0,0.65,0.55,0.68,0.0,0.0,1.02,0.16,0.1,0.1,0.45,0.1,0.2,6.0,False,1.798808004394099,1.75,0.04287743998771587,0.23386109833487811,0.48281923331860643,-0.10759524612634663,0.03695988715624931,0.011349824003792244,0.14233195091255446,0.1294940174875805,1.0767810724036437,-0.05551801232489506,0.0578576797746593,0.013124820269987613,1.308933088801592,0.3502986271516859,3.864795487779206,-0.03762233948116389,0.12268554937200316,0.01647582697201018
5,1.75,4h,2.0,7.0,21.0,60.0,0.62,0.05,0.0,1.06,1.0,0.12,0.5,1.0,1.0,0.35,0.75,0.86,0.0,0.01,1.04,0.06,0.0,0.0,0.45,0.2,0.2,6.0,False,1.7813152823876575,1.75,-0.08919320661002184,-0.3735174420905665,-0.4338974103965297,-0.4137461371508051,0.10858405885999253,0.046145296368535024,0.07983392155305347,0.0728127065913764,0.414294278060083,-0.16550761211353227,0.23912913153984375,0.08555001656312157,3.1713492287666405,0.6696283223937907,3.4510186714736997,-0.13597568281114236,0.29030181417108963,0.08088274417673467
13,1.75,4h,5.0,15.0,45.0,120.0,0.68,0.0,0.03,1.04,1.02,0.04,0.5,1.0,1.0,0.55,0.35,0.86,0.04,0.0,1.02,0.16,0.1,0.1,0.45,0.2,0.35,6.0,False,1.720848702518508,1.75,-0.10114927494016612,-0.4136133171392463,-0.6008412226609184,-0.4906186586455954,0.1096727850264026,0.02649150470996308,0.06996543723147197,0.06383759054699856,0.38195699194543625,-0.2325153290715436,0.2598267333593849,0.052122742025784735,3.494941287789713,0.7150047784308287,3.8315530795235357,-0.10664544358000594,0.2374839774190035,0.061457108505981774
11,2.0,4h,2.0,7.0,21.0,60.0,0.56,-0.08,0.01,1.02,1.0,0.0,0.7,0.7,0.7,0.65,1.0,0.68,0.08,0.0,1.02,0.16,0.1,0.1,0.45,0.1,0.2,6.0,False,1.7136031065300643,1.4,0.0020397627081554237,0.010251784614177417,0.06889191030412613,-0.2135405714120624,0.03590585659551177,0.01598248494800219,0.10958645666152345,0.09982995236422076,0.9857289226811426,-0.04388586450414489,0.04331337325349301,0.01337325349301397,1.4483717050793508,0.37901718952627617,4.405132307447222,-0.03009787158493127,0.09796437659033079,0.03307888040712468
10,2.0,4h,2.0,7.0,21.0,60.0,0.56,-0.08,0.03,1.04,1.01,0.02,0.7,0.7,0.7,0.55,0.35,0.8,0.04,0.02,1.0,0.06,0.0,0.0,0.45,0.1,0.35,6.0,False,1.6824897993162087,1.4,-0.008286053078987887,-0.04079307753561501,-0.026719154115908212,-0.24533562455386648,0.03588761174968071,0.009961685823754788,0.10814173837672225,0.09851948807400834,0.9246589539286495,-0.07323593207211354,0.0279441117764471,0.012574850299401197,1.5835709183659037,0.4058778581308433,4.605557556889626,-0.034160211368390314,0.10687022900763359,0.024936386768447834
6,2.0,4h,2.0,7.0,21.0,60.0,0.56,-0.08,0.01,1.02,0.99,0.0,0.9,0.7,0.7,0.65,0.35,0.8,0.02,0.02,1.0,0.06,0.16,0.16,0.45,0.35,0.35,6.0,False,1.6725444668637768,1.4,0.08530207490520181,0.5064265611705847,1.0728193004974937,-0.06628043934951322,0.029760628339417325,0.010773566253725973,0.1436991566328083,0.13073098136067807,1.2688469830937017,-0.043885864504145,0.0494371760560356,0.015517228111832522,1.1409946827753767,0.31419343537410405,4.144549638925488,-0.030097871584931046,0.10271763349841168,0.027687471819382907
7,1.75,4h,2.0,7.0,21.0,60.0,0.8,-0.08,-0.02,1.06,1.04,0.02,0.9,0.85,0.85,0.45,0.55,0.74,0.0,0.04,1.02,0.03,0.0,0.0,0.45,0.1,0.2,6.0,False,1.5045106440375853,1.4875,-0.009625913583248269,-0.04726235880071672,-0.05189707964657411,-0.21082359452482125,0.024560983397190296,0.007056194125159642,0.09891602031204605,0.09014766169436483,0.9122169195084542,-0.04659016348773992,0.017814371257485032,0.00593812375249501,1.4050101559399488,0.3702014630490371,4.492400224014404,-0.031978988558989396,0.0965171755725191,0.026494910941475824
0,1.3,4h,5.0,15.0,45.0,120.0,0.74,-0.05,0.01,0.98,1.04,0.04,0.7,1.0,1.0,0.35,1.0,0.68,0.0,0.02,1.02,0.1,0.1,0.1,0.45,0.5,0.25,6.0,False,1.496645179414347,1.3,-0.02774696351944672,-0.13138049314249145,-0.2864411201338742,-0.2673517974799733,0.04297010356696661,0.008889569667356007,0.08255808643532725,0.0752890304872833,0.6091905204139189,-0.07767555171407248,0.11105642777482691,0.021793494272208728,1.6661318541990782,0.42183979401145977,3.605253283028273,-0.027948023614578932,0.07260814249363869,0.026463104325699746
12,2.0,4h,3.0,10.0,30.0,90.0,0.68,-0.08,0.0,0.98,1.01,-0.02,0.25,0.7,0.7,0.45,0.75,0.8,0.08,0.01,1.0,0.16,0.0,0.0,0.45,0.35,0.2,6.0,False,1.476892612317667,1.3226559919542886,-0.02653996743064313,-0.1259694425279173,-0.40832177803018915,-0.16862787055337336,0.012290445633788886,0.006392195220062791,0.19983017176489515,0.18140829755174925,1.534275005563421,-0.045891977510861826,0.03541060671359656,0.009455203606584403,0.8369231908403603,0.24389391745601063,3.811050585540169,-0.02843509299777136,0.04543474781522365,0.006731073750403505
8,1.75,4h,2.0,7.0,21.0,60.0,0.8,-0.08,0.01,0.98,1.0,0.08,0.9,0.85,0.85,0.35,1.0,0.68,0.08,0.01,1.04,0.06,0.0,0.0,0.45,0.5,0.15,6.0,False,1.443382411791632,1.4875,-0.015365852539122482,-0.0745826958158976,-0.11389709281120229,-0.2232835216630903,0.022932630906768836,0.010855683269476373,0.07015693459344141,0.06401181883946871,0.6573463595052544,-0.0465901634877397,0.01632984031936128,0.008907185628742516,1.538618921351246,0.39704922917058516,4.379731797831247,-0.031978988558989285,0.08137722646310433,0.02270992366412214
3,1.6,4h,2.0,7.0,21.0,60.0,0.56,-0.08,-0.04,0.98,1.0,0.08,0.35,1.0,1.0,0.65,0.55,0.68,0.0,0.0,1.02,0.16,0.1,0.1,0.45,0.1,0.2,6.0,False,1.4396006314879513,1.6,0.039501541417945374,0.21399774720854126,0.48281923331860654,-0.09868232060474258,0.0337918968285708,0.01037698194632434,0.13010417216076609,0.11842546260737463,1.076781072403644,-0.05071585825112068,0.05289845007968851,0.011999835675417247,1.153239737565293,0.3168861381845933,3.8647954877792046,-0.03439756752563561,0.11216964514011717,0.015063613231552165
16,2.0,4h,3.0,10.0,30.0,90.0,0.56,-0.08,0.03,1.04,1.01,0.02,0.7,0.7,0.7,0.55,0.35,0.8,0.04,0.02,1.0,0.06,0.0,0.0,0.45,0.1,0.35,6.0,False,1.404931679771396,1.4,-0.03925266517741377,-0.18162821129063467,-0.28333494074585475,-0.35699023972650956,0.04814814814814814,0.012005108556832692,0.1608931599202772,0.14627639369893242,1.085379415795396,-0.07046445084652608,0.06706586826347304,0.023752495009980036,1.1135880855389515,0.3081307060615568,3.9059959642868196,-0.030097871584931157,0.062340966921119574,0.021374045801526718
1,1.3,4h,3.0,10.0,30.0,90.0,0.56,-0.08,-0.04,0.98,1.0,0.08,0.35,1.0,1.0,0.65,0.55,0.68,0.0,0.0,1.02,0.16,0.1,0.1,0.45,0.1,0.2,6.0,False,1.365515158253349,1.3,0.0051500188456254925,0.026045570173529597,0.11850664896088318,-0.07340298928928457,0.028900155019513863,0.007856263454648625,0.18531434450516615,0.16832251558855993,1.571393917250019,-0.0432741059447862,0.05679665050259824,0.009829363515216193,0.8022684752277647,0.23542010564557114,3.746696200870055,-0.027948023614578932,0.07185312918066805,0.013033638443760208
5,1.6,4h,2.0,7.0,21.0,60.0,0.62,0.05,0.0,1.06,1.0,0.12,0.5,1.0,1.0,0.35,0.75,0.86,0.0,0.01,1.04,0.06,0.0,0.0,0.45,0.2,0.2,6.0,False,1.3079359407473499,1.6,-0.08072834202350399,-0.34382595856531584,-0.4338974103965297,-0.3834076795284076,0.09927685381485031,0.04218998525123203,0.07600307279520946,0.06932948536626604,0.4142942780600828,-0.15074662862033472,0.21863234883642854,0.07821715800056828,2.716394739332147,0.6018397631569095,3.4510186714736997,-0.12479801066207696,0.2654188015278533,0.07394993753301457
15,2.0,4h,3.0,10.0,30.0,90.0,0.5,-0.05,-0.02,1.0,1.0,0.0,0.25,1.0,1.0,0.45,0.75,0.68,0.08,0.04,1.04,0.06,0.0,0.0,0.45,0.2,0.2,6.0,False,1.3057180105655037,1.6450857206563483,-0.016404565081902356,-0.07945894884560534,-0.13210017957473857,-0.22573098834535954,0.02198720673344975,0.010109230264661609,0.1574634273924047,0.14317708030760712,1.0258167262232927,-0.0786693323222486,0.06215081322573145,0.01839328815356981,1.131610876363104,0.31212323506837714,3.8686802937212446,-0.03429979261088523,0.06999795679795554,0.01980672467391214
19,2.0,4h,2.0,7.0,21.0,60.0,0.56,-0.05,-0.02,1.02,1.01,0.08,0.5,1.0,1.0,0.45,1.0,0.74,0.08,0.02,1.04,0.16,0.0,0.0,0.45,0.1,0.25,6.0,False,1.2749404565068052,2.0,-0.05314066055812783,-0.23915289312992016,-0.3147873507314406,-0.3543340387423426,0.0495142548219546,0.019142650932702076,0.058608782560840345,0.053500315603807636,0.3942791143931464,-0.11313347001828211,0.06387225548902195,0.023952095808383235,2.035018898232209,0.4895315545029586,4.05855075932813,-0.06424181911390137,0.17175711829816118,0.047231443912793256
17,2.0,4h,2.0,7.0,21.0,60.0,0.74,-0.05,0.01,1.02,1.04,-0.02,0.5,0.7,0.7,0.45,1.0,0.68,0.0,0.01,1.0,0.06,0.0,0.0,0.45,0.5,0.35,6.0,False,1.2381272696879044,1.4,0.02238487665923583,0.11718414899753804,0.31045592906121006,-0.08098210855097487,0.017369093231162196,0.00842911877394636,0.1263862362530821,0.11505798426402469,0.9665003087359707,-0.07134524972231626,0.03143712574850299,0.011177644710578841,1.166702499893372,0.319835310490727,4.31618681468982,-0.03009787158493127,0.08193384223918576,0.017811704834605594
21,2.0,4h,5.0,15.0,45.0,120.0,0.8,0.05,0.03,1.0,0.99,0.12,0.35,1.0,1.0,0.35,0.75,0.62,0.0,0.02,1.0,0.1,0.0,0.0,0.45,0.5,0.15,6.0,False,1.2346166834471277,1.479013215566937,-0.045558373943247576,-0.2081628060634063,-0.5227175448924953,-0.2745361700067732,0.022298024432333013,0.00824775458748116,0.17558418100723894,0.1595433191714022,1.191968850876368,-0.0663324484902521,0.06548343759722966,0.013361228338779,0.9631546384116638,0.2739212373615607,3.535763948597125,-0.055061098505255646,0.07580547560702948,0.02480417722151351
